control,replication,effect
permutation,1,-0.0038162494956545945
permutation,2,0.03763832445510932
permutation,3,0.0267831775230091
permutation,4,0.0148848896613148
permutation,5,0.012012940031202691
permutation,6,0.005277150186831765
permutation,7,0.011284000424569476
permutation,8,0.020049157787071288
permutation,9,0.019649512015772405
permutation,10,0.038606543027503
permutation,11,0.002927302231024167
permutation,12,0.003475374293361913
permutation,13,0.0021355906888069955
permutation,14,0.05650694597592675
permutation,15,0.029129580583992717
permutation,16,-0.0068935511717565
permutation,17,0.011910001121391988
permutation,18,-0.0041997645950968675
permutation,19,0.04571333189609677
permutation,20,0.019623216170836247
permutation,21,-0.04987439448704401
permutation,22,0.027627139091775412
permutation,23,-0.015030819593158596
permutation,24,0.010811480621903296
permutation,25,0.026827990437781175
permutation,26,-0.00934111593987784
permutation,27,0.07109043048058668
permutation,28,-0.011279297413000117
permutation,29,-0.021935594552511137
permutation,30,-0.0016338621836459188
permutation,31,-0.0011286551152914057
permutation,32,-0.002393009850853378
permutation,33,-0.03969767210294174
permutation,34,0.03427280524236536
permutation,35,-0.05324703419153905
permutation,36,0.01405910899606718
permutation,37,0.01881014407281741
permutation,38,-0.01679512757027197
permutation,39,-0.03423019458966778
permutation,40,0.08840141614227924
permutation,41,0.00928164346030424
permutation,42,-0.013856428154543047
permutation,43,-0.040602059277817425
permutation,44,0.012676936388550561
permutation,45,0.0169842513988169
permutation,46,-0.07904178558331611
permutation,47,0.012103633197760347
permutation,48,-0.0010902927154430538
permutation,49,0.032229561722301084
permutation,50,0.03860805406194467
permutation,51,0.015661812451304536
permutation,52,0.04329872225126704
permutation,53,-0.06724240352178296
permutation,54,-0.047130512363063516
permutation,55,0.006181170941083496
permutation,56,-0.00924899299179787
permutation,57,-0.07111691926569824
permutation,58,0.034271642633388395
permutation,59,-0.010753382058142795
permutation,60,-0.06083160072340375
permutation,61,-0.006472599881174583
permutation,62,-0.03271892294287077
permutation,63,-0.01687258664422268
permutation,64,-0.01586149134254304
permutation,65,0.04154746675523164
permutation,66,-0.016868764135375282
permutation,67,0.05372273474665576
permutation,68,-0.07443691195889449
permutation,69,-0.03265414675677156
permutation,70,0.030276266416306166
permutation,71,0.03974401438565553
permutation,72,0.021356485191224347
permutation,73,-0.0036289879544929267
permutation,74,-0.022779239508247145
permutation,75,-0.03518915832490086
permutation,76,0.007411310146538588
permutation,77,-0.018035519134778938
permutation,78,-0.06137688801811463
permutation,79,0.019914958577363143
permutation,80,-0.02480091348316157
permutation,81,-0.046985289723032314
permutation,82,0.01694432712419157
permutation,83,-0.0072132961810017285
permutation,84,-0.042476189391125165
permutation,85,0.04705404943814993
permutation,86,-0.05012844581760574
permutation,87,0.016495511823175633
permutation,88,-0.03081473248105956
permutation,89,0.03962267009504424
permutation,90,0.006490564489157396
permutation,91,0.013512290042071448
permutation,92,0.006352959703166198
permutation,93,-0.05078450300125779
permutation,94,0.005453500315658762
permutation,95,-0.045357645239310684
permutation,96,0.03388775220953147
permutation,97,-0.06713765723447093
permutation,98,-0.03813077067618788
permutation,99,-0.034672759487553884
permutation,100,-0.014420309915966534
shift,1,0.001932096324406784
shift,2,0.04320289648034346
shift,3,0.06599337109562989
shift,4,-0.006452737824098638
shift,5,-0.02399599299383806
shift,6,-0.009035592183370302
shift,7,0.03012565184746214
shift,8,-0.01991380813180776
shift,9,0.017019680957043756
shift,10,-0.05365230669800286
shift,11,-0.037494556285563176
shift,12,0.09887040292347404
shift,13,0.009161150540178934
shift,14,0.021013477508534696
shift,15,0.015203091761765443
shift,16,-0.011530029879905137
shift,17,0.04698570544884741
shift,18,-0.06784307227637495
shift,19,-0.018375636179627935
shift,20,-0.020273305093566275
shift,21,0.019627100938341677
shift,22,-0.027247826236886867
shift,23,-0.001334249992890326
shift,24,-0.0008930486254221026
shift,25,-0.03254983951921487
shift,26,-0.02067554398252072
shift,27,-0.0006116455415738113
shift,28,-0.07478282767895676
shift,29,-0.004096350442390744
shift,30,0.03511767079111246
shift,31,-0.021050061469669153
shift,32,-0.030327728501491187
shift,33,-0.012298207142259538
shift,34,-0.07657535196751475
shift,35,0.05208138747166914
shift,36,-0.03289695019624201
shift,37,0.073377289055682
shift,38,0.0071401718693540955
shift,39,0.026240223221495104
shift,40,-0.06026343083253401
shift,41,0.009666460371261376
shift,42,-0.012306481158304362
shift,43,-0.00020940692746622186
shift,44,-0.000281526109768704
shift,45,0.08271178585277045
shift,46,0.07425319638223431
shift,47,0.029821714940264994
shift,48,-0.018507299971485307
shift,49,-0.03901435803062451
shift,50,0.05625299577325808
shift,51,-0.048174942793618315
shift,52,0.014303532514003106
shift,53,-0.033244314382258125
shift,54,0.0460490310205394
shift,55,-0.04529105090992489
shift,56,-0.004668814528935092
shift,57,0.03682510178392991
shift,58,0.07871704060185582
shift,59,-0.0076420500415022696
shift,60,-0.013762113687326383
shift,61,0.01391926609566301
shift,62,-0.04675106672644116
