person_id,trial_id,time_ms,pupil
1,1,-500,3.361141
1,1,-450,3.431704
1,1,-400,3.427009
1,1,-350,3.405756
1,1,-300,3.405382
1,1,-250,3.394567
1,1,-200,3.35033
1,1,-150,3.43481
1,1,-100,3.387995
1,1,-50,3.39764
1,1,0,3.39467
1,1,50,3.422508
1,1,100,3.468012
1,1,150,3.451223
1,1,200,3.48765
1,1,250,3.51129
1,1,300,3.544521
1,1,350,3.515259
1,1,400,3.483103
1,1,450,3.522677
1,1,500,3.505006
1,1,550,3.543325
1,1,600,3.558836
1,1,650,3.55704
1,1,700,3.480243
1,1,750,3.479536
1,1,800,3.514962
1,1,850,3.534163
1,1,900,3.495903
1,1,950,3.480867
1,1,1000,3.496701
1,2,-500,3.432204
1,2,-450,3.444982
1,2,-400,3.429575
1,2,-350,3.479199
1,2,-300,3.426982
1,2,-250,3.431497
1,2,-200,3.402765
1,2,-150,3.421956
1,2,-100,3.44341
1,2,-50,3.418073
1,2,0,3.436538
1,2,50,3.444413
1,2,100,3.463884
1,2,150,3.460858
1,2,200,3.541052
1,2,250,3.453944
1,2,300,3.517093
1,2,350,3.540237
1,2,400,3.505078
1,2,450,3.53256
1,2,500,3.505083
1,2,550,3.534887
1,2,600,3.544589
1,2,650,3.517088
1,2,700,3.493812
1,2,750,3.481844
1,2,800,3.494962
1,2,850,3.526747
1,2,900,3.492955
1,2,950,3.527068
1,2,1000,3.46225
1,3,-500,3.421265
1,3,-450,3.383789
1,3,-400,3.38839
1,3,-350,3.35208
1,3,-300,3.33277
1,3,-250,3.407487
1,3,-200,3.39576
1,3,-150,3.394197
1,3,-100,3.414229
1,3,-50,3.386204
1,3,0,3.377579
1,3,50,3.432894
1,3,100,3.443631
1,3,150,3.46237
1,3,200,3.488335
1,3,250,3.50105
1,3,300,3.491232
1,3,350,3.501538
1,3,400,3.482299
1,3,450,3.55492
1,3,500,3.515457
1,3,550,3.50939
1,3,600,3.549752
1,3,650,3.498046
1,3,700,3.511278
1,3,750,3.473686
1,3,800,3.516619
1,3,850,3.475613
1,3,900,3.509184
1,3,950,3.46992
1,3,1000,3.477204
1,4,-500,3.360828
1,4,-450,3.378962
1,4,-400,3.370828
1,4,-350,3.409409
1,4,-300,3.404245
1,4,-250,3.398753
1,4,-200,3.397697
1,4,-150,3.387317
1,4,-100,3.375125
1,4,-50,3.388886
1,4,0,3.397632
1,4,50,3.389422
1,4,100,3.429789
1,4,150,3.44994
1,4,200,3.453403
1,4,250,3.44471
1,4,300,3.481535
1,4,350,3.483998
1,4,400,3.492976
1,4,450,3.508608
1,4,500,3.518647
1,4,550,3.52933
1,4,600,3.500428
1,4,650,3.49686
1,4,700,3.515219
1,4,750,3.523142
1,4,800,3.432533
1,4,850,3.500701
1,4,900,3.458898
1,4,950,3.480616
1,4,1000,3.423755
1,5,-500,3.372527
1,5,-450,3.397766
1,5,-400,3.337387
1,5,-350,3.399663
1,5,-300,3.357493
1,5,-250,3.372107
1,5,-200,3.373119
1,5,-150,3.373156
1,5,-100,3.353244
1,5,-50,3.349552
1,5,0,3.363251
1,5,50,3.438843
1,5,100,3.409861
1,5,150,3.434276
1,5,200,3.418579
1,5,250,3.471341
1,5,300,3.503813
1,5,350,3.427249
1,5,400,3.479322
1,5,450,3.469202
1,5,500,3.519026
1,5,550,3.436711
1,5,600,3.508341
1,5,650,3.462489
1,5,700,3.4494
1,5,750,3.452296
1,5,800,3.472657
1,5,850,3.393195
1,5,900,3.458803
1,5,950,3.439812
1,5,1000,3.453871
1,6,-500,3.506078
1,6,-450,3.486303
1,6,-400,3.533299
1,6,-350,3.51775
1,6,-300,3.510395
1,6,-250,3.496793
1,6,-200,3.552358
1,6,-150,3.495364
1,6,-100,3.493702
1,6,-50,3.53749
1,6,0,3.523
1,6,50,3.548848
1,6,100,3.526432
1,6,150,3.623803
1,6,200,3.559938
1,6,250,3.586485
1,6,300,3.588253
1,6,350,3.630004
1,6,400,3.609772
1,6,450,3.62492
1,6,500,3.590816
1,6,550,3.611526
1,6,600,3.606604
1,6,650,3.606971
1,6,700,3.612776
1,6,750,3.575272
1,6,800,3.603416
1,6,850,3.611902
1,6,900,3.599586
1,6,950,3.592282
1,6,1000,3.557282
2,1,-500,3.314881
2,1,-450,3.27077
2,1,-400,3.283331
2,1,-350,3.29196
