person_id,session,dwell_time,pupil_mean,response_time
1,1,1007.5745868609908,3.56460686878162,836.9555953033263
1,2,973.1126426252733,3.687314080815234,853.379166855397
1,3,948.5583681970409,3.719843298401509,900.5257435189179
2,1,753.319644391756,3.433887758464687,909.3291632926972
2,2,746.6054257615509,3.192294530344561,962.1833562902078
2,3,784.6236911785024,3.2561078349448542,1075.8775223068642
3,1,957.1421994358593,3.4183780563624513,786.0628795321612
3,2,1017.0290631830915,3.3625710204699315,871.9902477272115
3,3,935.3091851561608,3.5249993978841943,831.3622831514872
4,1,980.8718856403218,3.596423169058057,874.9174565165873
4,2,1025.8910607172181,3.5437295570902823,825.705114874393
4,3,964.6886636199667,3.499524569261731,904.149416101449
5,1,682.6806302264815,3.3841494732620196,942.3089499882993
5,2,750.0493660782919,3.2746093756328993,944.5451295106083
5,3,812.0588479832398,3.223896422120073,968.3331029779835
6,1,1317.7286708604756,3.67177401118978,717.626369631366
6,2,1143.6031397314766,3.8093286790125602,728.7227431213521
6,3,1272.297215518299,3.728582611655822,835.0907462745361
7,1,1016.1480984608704,3.486134628279412,807.0211451683456
7,2,1020.8184475751764,3.590388771780059,1019.2241448513921
7,3,987.3470164734025,3.4957421711506917,877.0045492243676
8,1,1073.4126499239826,3.647234810688887,939.247709850538
8,2,1108.424786001238,3.589981118670191,762.8174143498502
8,3,1132.4247936589554,3.7002040038538935,763.5550159220686
9,1,962.8730519010957,3.4038904670826367,761.1466200545929
9,2,830.5561528407619,3.3828415819507804,831.5277314826095
9,3,881.2761896735094,3.613630580956042,856.3276303232997
10,1,871.8150882101743,3.452969936127732,846.616679123684
10,2,953.6329678063184,3.4999460622818814,908.4033024347905
10,3,1029.6879666590012,3.5787820623015616,844.6578137332132
11,1,965.8884686929243,3.2686824277117426,923.738234722413
11,2,837.8315260790488,3.428564857777368,863.5819804592853
11,3,912.7187611200786,3.5287855969723867,997.6371644926631
12,1,964.4356591442361,3.6366553993277373,906.0794821044466
12,2,920.8775990890769,3.572953426624959,827.8338727480692
12,3,1015.0908180490924,3.5174650260930567,977.0524795080112
13,1,792.5414825406717,3.2734733170168964,1063.2247250314806
13,2,835.8240329956927,3.208425475858679,1013.0188276474464
13,3,954.3676975641537,3.3425249518950255,911.4726296868139
14,1,1070.695939405949,3.5843098279132577,837.0744518055299
14,2,1022.355378301404,3.4953140046336957,610.9255151988251
14,3,1028.0593548054603,3.6526031790996822,922.5501678995797
15,1,835.0688976040353,3.446229856576025,866.2750354205145
